"index","TS1","TS2","TS3","TS4","TS5","TS6","TS7","TS8","TS9","TS10","TS11","TS12","TS13","TS14","TS15","TS16","TS17","TS18","TS19","TS20","TS21","TS22","TS23","TS24","TS25","TS26","TS27","TS28","TS29","TS30","TS31","TS32","TS33","TS34","TS35","TS36","TS37","TS38","TS39","TS40","TS41","TS42","TS43","TS44","TS45","TS46","TS47","TS48","TS49","TS50","TS51","TS52","TS53","TS54","TS55","TS56","TS57","TS58","TS59","TS60","TS61","TS62","TS63","TS64","TS65","TS66","TS67","TS68","TS69","TS70","TS71","TS72","TS73","TS74","TS75","TS76","TS77","TS78","TS79","TS80","Left_Right","FWD"
1,-0.030296,-0.028841,-0.02296,-0.02645,-0.0084639,-0.02006,-0.037407,-0.021697,-0.018597,-0.020643,-0.024844,-0.025205,-0.0014171,-0.0045681,-0.0083,-0.012007,-0.0077908,-0.018491,-0.0087192,-0.0045124,0.00014468,-0.019646,-0.00224,-0.0092993,0.0015405,-0.0049672,-0.0075747,-0.01047,0.0047101,-0.0030762,-0.0068441,-0.0017744,0.0019908,-0.0057091,-0.0022342,0.011436,0.01196,-0.00021969,0.0053222,-0.0055966,0.0079584,0.0019531,-0.0089577,0.01286,-0.0053943,-0.0032331,-0.0038623,-0.011328,-0.00057482,0.0023313,0.0050106,0.023859,0.00067085,-0.0010032,0.010946,-0.0010001,0.016844,-0.0061964,0.0095608,0.0099085,-0.0068361,-0.002271,0.0094057,-0.0065931,0.019649,-0.0041574,0.012968,0.0022545,-0.0078479,0.00095621,0.0021421,0.0025119,-0.0092048,-0.0033717,0.017227,0.0083492,-0.010402,0.0076727,0.00051321,-0.002307,1.08e-07,-2.45e-06
11,-0.024044,-0.031952,-0.031298,-0.032052,-0.025606,-0.023971,-0.028363,-0.020522,-0.0054292,-8.89e-05,-0.0045663,-0.019999,-0.01251,-0.03558,-0.0047954,-0.0094028,-0.012956,-0.0033174,-0.015586,0.00090373,-0.0067173,-0.02175,-0.025524,-0.006205,-0.013256,-0.0056051,-0.010175,-0.014706,-0.01404,0.0059977,-0.014959,-0.002656,-0.0083938,0.007559,-0.0098068,-0.0039014,0.0037053,-0.0069113,-0.0052808,-0.0097575,-0.0027358,0.0014031,0.0085647,-0.003171,-0.0020717,-0.0022307,0.013727,-0.015661,-0.0052556,-0.02576,0.0060516,0.0060122,0.0027936,0.0028339,-0.0043286,-0.011028,0.015492,-0.0077861,0.012368,0.021408,0.008025,0.0071172,0.000923,-0.012898,0.016598,-0.016987,-0.013627,0.0043118,0.0025207,0.00083929,0.010738,-0.0026542,-0.0023657,0.018717,0.010919,0.00051905,0.0083313,0.020045,-0.013505,-0.0048011,-0.000296787119,0.003643538658
21,-0.03274,-0.033949,-0.034489,-0.025662,-0.014291,-0.020957,-0.040756,-0.028565,-0.024008,-0.0088338,-0.028494,-0.015802,-0.029556,-0.035075,-0.028171,-0.01309,-0.041915,-0.025634,-0.014153,-0.014963,-0.0039875,-0.006571,0.00094609,-0.013166,0.02291,-0.01021,-0.026854,-0.016092,0.0081084,-0.0058826,0.00060257,-0.0094121,0.0060732,-0.013762,0.0097862,-0.021879,0.026709,0.027581,0.0037743,-0.0021712,0.008225,0.0013853,0.0041551,0.015115,0.013194,0.0058131,0.004539,-0.023476,0.00077111,0.022188,0.012648,0.0031247,0.0034447,-0.015966,-0.00034125,0.018275,0.018516,0.0084759,-0.00055907,0.020285,-0.024575,-0.011972,0.0088784,-0.004114,0.0097146,0.00015071,0.0040875,-0.0030572,-0.0031478,-0.0003264,-0.0061576,0.0077133,0.0134,-0.022654,-0.021518,-0.0045081,0.0034398,-0.0090212,0.006509,-0.0023021,-0.0012138560966,0.005805811676
31,-0.064637,-0.01907,-0.041201,-0.032526,-0.013907,-0.023753,-0.042827,-0.022514,-0.014433,-0.036474,-0.055097,-0.0088972,-0.0010263,-0.0043795,-0.036837,-0.026684,-0.012666,-0.02119,-0.040288,-0.026007,0.00083553,-0.025083,-0.021717,0.0052843,-0.047256,-0.0046932,-0.021821,-0.036725,-0.003515,0.0081882,0.0027002,-0.0058241,-0.0022339,0.024981,0.01406,-0.022215,0.012026,0.022599,0.0055826,9.47e-05,0.025039,0.015372,0.014707,7.17e-05,-0.013222,0.00028206,0.003364,0.019268,0.020509,0.046643,0.0043595,0.009967,-0.0093333,0.0058066,0.0118,0.009579,0.0090512,-0.0041775,0.0043514,0.03638,-0.0015464,0.0038579,0.019413,0.011959,-0.013365,-0.003427,0.015602,0.018488,-0.020333,0.0043806,0.0024724,0.00063465,-0.01679,0.0031442,-0.011309,0.021566,0.011501,-0.0041541,0.022115,0.001629,-0.0014775607258,0.00755843367
41,-0.048159,-0.0088256,-0.012248,-0.015521,-0.018651,-0.023579,-0.018257,-0.0003464,0.0044409,0.013074,0.00048713,0.015545,0.0046296,0.041916,0.00083424,0.0034321,0.032101,-0.01559,-0.0060564,0.0017706,-0.0046662,-0.0052542,0.0083366,-0.004344,-0.010204,0.0065419,0.0025762,-0.026376,0.013328,0.015762,-0.0051908,-0.0035842,-0.0065649,0.013061,0.0014438,-0.0035807,-0.0018534,0.022412,-0.017057,-0.0062168,0.0099226,0.013556,0.024346,-0.0075858,-0.0042412,0.020588,0.0094075,0.027928,0.019303,0.029825,0.032021,-0.0018533,-0.009144,0.0069968,0.00021324,-0.013945,0.0025717,-0.024684,-0.024981,0.0042092,0.015465,0.0041176,0.0013384,0.0014487,0.045093,-0.010059,0.032249,0.015582,0.001716,-0.00098565,0.0092064,0.0055284,-0.014252,0.042074,0.052148,0.0080849,-0.021893,0.019601,0.008646,-0.002968,-0.0016550176494,0.00790930705
51,-0.021995,-0.020784,-0.020513,-0.0091922,-0.025247,-0.015633,-0.021135,-0.0043957,-0.004785,-0.018403,-0.0042335,0.0087522,-0.009516,0.03728,-0.001443,0.014908,0.015548,-0.011694,0.0099829,0.013633,-0.022317,-0.018582,0.017783,0.01367,-0.006339,0.023008,-0.014192,-0.012041,0.038227,0.0031556,0.0011667,0.001449,-0.019104,-0.023001,-1.71e-05,-0.011517,0.0064411,0.0036162,-0.016858,-0.0007327,-0.0074992,-0.010663,0.005085,0.0044038,-0.0067326,0.0082209,0.0058279,-0.038381,-0.014939,-0.017713,-0.0023629,0.0023599,0.0012563,0.014218,-0.0029328,0.0053283,0.018803,-0.014104,-0.018546,0.0083117,-0.014765,0.0061249,0.010476,0.0012132,0.050156,-0.0084485,0.0056378,-0.014545,0.0060758,-0.0053222,0.0079133,0.0068729,0.0073129,-0.014438,0.038936,-0.021346,-0.024803,0.023203,-0.024493,-0.0015866,-0.0014640333882,0.009017247324
61,-0.039734,-0.028273,-0.027201,-0.0082224,-0.013141,-0.023148,-0.029637,-0.014668,-0.017649,-0.0485,-0.046462,-0.014412,-0.0031536,0.0053634,-0.041758,0.010192,-0.013672,0.00039036,-0.0052669,-0.023468,-0.032542,-0.024691,-0.0028683,0.0065249,0.003591,0.024993,-0.025249,0.0056687,0.0227,-0.011735,-0.014554,0.005196,-0.019763,-0.033498,-0.0086056,0.0066991,-0.0027846,0.0073059,-0.014077,-0.018124,-0.0050065,-0.0032349,0.01418,-0.017299,-0.0053028,0.004726,0.007491,-0.03318,-0.031736,-0.02601,-0.01697,0.0033502,0.0074313,0.010084,-0.0038262,0.0065486,0.017686,0.0082756,-0.0093448,0.011227,-0.0061699,0.012893,-0.0072625,-0.014244,0.034445,-0.024479,-0.013011,-0.013394,-0.003135,0.0027581,-0.012715,0.005638,0.041075,-0.027833,0.01466,-0.020616,-0.017289,-0.02367,-0.036797,-0.0022497,-0.0013356840718,0.008550905262
71,-0.040703,-0.028827,-0.044256,-0.019666,-0.0014938,-0.023792,-0.045028,-0.013116,-0.00665,-0.068032,-0.075543,-0.040932,-0.013211,-0.017868,-0.049676,-0.00032592,-0.013358,-0.015971,-0.03752,-0.028951,-0.017468,-0.013002,0.0022459,0.0069588,-0.013545,-0.0092927,-0.036082,0.017679,0.0045776,0.012057,-0.0162,0.011673,-0.036826,-0.022529,0.022382,-0.0058517,-0.0097951,-0.011201,0.011096,-0.010686,0.0065322,-0.016286,-0.0056947,0.020599,0.025385,-0.036873,0.01192,-0.034462,-0.024678,-0.013597,-0.042313,0.00035468,0.016878,-0.032532,-0.016025,0.0086356,-0.01382,-0.011223,0.020341,0.05612,-0.0079354,0.010391,-0.016936,-0.01221,0.0018709,-0.025841,-0.052222,0.00046038,0.012208,0.0052931,-0.025706,-0.010065,0.033987,-0.029989,-0.005051,0.027282,0.0053319,-0.020087,-0.041217,0.0017596,-0.0010726775194,0.009969210812
81,-0.032062,-0.015516,-0.048851,-0.029624,-0.00731,-0.022967,-0.044376,-0.031814,-0.0004651,-0.069899,-0.049916,-0.04058,-0.010636,-0.015783,-0.044833,0.010057,-0.021826,-0.0082728,-0.046457,-0.035853,-0.01765,-0.035694,0.012815,-0.0007285,-0.06017,-0.047596,-0.025514,-0.0060609,-0.0046028,0.024546,-0.025417,0.0026291,-0.034337,-0.030192,0.026144,-0.012452,0.0013075,-0.029361,0.0057854,-0.0020829,0.022871,-0.0035909,-0.015231,-0.0075209,0.0094595,-0.04055,-0.0024693,-0.012677,-0.017794,0.035491,-0.036466,0.00093042,0.017503,-0.051035,-0.01741,0.024799,-0.0083994,-0.011554,0.046655,0.053131,-0.017363,-5.67e-05,-0.03284,-0.022208,-0.0066999,0.0055134,-0.04735,0.013172,0.0038222,0.0086645,-0.024318,-0.021557,-0.008695,-0.00015958,-0.01853,0.037432,0.011737,0.00012928,-0.002999,0.0053448,-0.0013171588344,0.009957345264
91,-0.032289,-0.014032,-0.036949,-0.030462,-0.0063355,-0.030608,-0.041041,-0.022147,-0.010789,-0.038422,-0.02734,-0.036319,-0.036151,-0.036923,-0.038831,0.0035306,-0.025585,-0.0095914,-0.035906,-0.05761,-0.0014531,-0.016565,-0.011501,-0.0090046,-0.030165,-0.065854,-0.017511,-0.0092205,0.00010224,0.017158,-0.029266,-0.044362,-0.020258,-0.021726,0.025115,-0.027419,0.0054468,-0.027863,-0.0038984,-0.012296,0.037929,0.02304,-0.01647,-0.018061,-0.005936,-0.031898,0.01275,0.0040694,0.013304,0.084499,0.012829,0.018299,0.010443,-0.055979,-0.027941,0.026633,-0.021696,-0.0024285,0.050745,0.049115,-0.012766,0.018704,-0.016781,-0.037287,-0.022968,0.0035957,-0.039376,0.020094,0.0024826,0.012554,-0.02566,-0.028117,-0.027252,0.04052,-0.0090086,0.015688,0.024239,0.013932,0.019885,-0.010473,-0.0016983503006,0.011080300168
